Todos os Resultados da Mega Sena na ordem do sorteio | Rede Loteria,,,,,,,,,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2717,25/04/2024,36,06,50,34,22,44,1,"5,581,371.93","5,637,747"
2716,23/04/2024,48,27,28,49,20,05,0,,"4,872,569"
2715,20/04/2024,25,19,53,07,50,46,1,"102,128,925.42","20,406,599"
2714,18/04/2024,17,45,57,42,52,16,0,,"13,407,552"
2713,16/04/2024,58,09,23,35,25,26,0,,"12,676,331"
2712,13/04/2024,35,19,07,40,42,15,0,,"14,386,888"
2711,11/04/2024,36,55,14,38,60,46,0,,"11,938,192"
2710,09/04/2024,44,50,25,42,05,06,0,,"11,042,006"
2709,06/04/2024,22,12,23,47,24,53,0,,"10,494,657"
2708,04/04/2024,19,11,12,10,28,23,0,,"7,580,748"
2707,02/04/2024,39,09,11,54,07,57,0,,"7,023,984"
2706,30/03/2024,45,24,17,30,10,11,0,,"9,018,496"
2705,26/03/2024,35,02,47,22,27,16,1,"118,265,926.76","20,705,943"
2704,23/03/2024,03,25,31,10,07,52,0,,"18,285,616"
2703,21/03/2024,56,03,35,11,38,07,0,,"14,835,390"
2702,19/03/2024,40,46,06,20,13,34,0,,"13,366,240"
2701,16/03/2024,06,18,47,31,32,15,0,,"14,822,969"
2700,14/03/2024,11,19,28,20,01,48,0,,"11,696,098"
2699,12/03/2024,31,23,49,54,09,58,0,,"7,653,444"
2698,09/03/2024,60,02,18,35,45,19,0,,"8,541,500"
2697,07/03/2024,25,42,13,11,10,27,0,,"6,361,389"
2696,05/03/2024,13,39,55,04,59,18,1,"206,475,189.75","39,217,597"
2695,02/03/2024,40,33,34,17,15,32,0,,"34,554,067"
2694,29/02/2024,41,22,07,20,58,29,0,,"24,085,730"
2693,27/02/2024,50,29,44,11,46,45,0,,"22,618,361"
2692,24/02/2024,56,33,55,45,09,59,0,,"23,351,812"
2691,22/02/2024,15,28,40,37,57,13,0,,"17,462,802"
2690,20/02/2024,43,45,09,28,55,33,0,,"14,681,093"
2689,17/02/2024,16,48,52,47,09,20,0,,"14,729,300"
2688,15/02/2024,12,33,41,46,17,54,0,,"12,971,992"
2687,10/02/2024,02,30,34,04,24,50,0,,"12,885,803"
2686,08/02/2024,06,41,12,43,20,59,0,,"10,107,106"
2685,06/02/2024,51,46,09,31,47,16,0,,"8,950,984"
2684,03/02/2024,26,45,53,48,46,17,1,"94,839,718.02","21,561,834"
2683,01/02/2024,03,57,27,01,47,23,0,,"17,254,311"
2682,30/01/2024,29,04,17,58,30,52,0,,"15,370,637"
2681,27/01/2024,47,20,30,42,53,10,0,,"15,628,208"
2680,25/01/2024,45,57,03,11,42,46,0,,"12,064,213"
2679,23/01/2024,26,07,38,51,18,20,0,,"9,801,184"
2678,20/01/2024,16,54,13,37,10,18,0,,"10,982,474"
2677,18/01/2024,03,54,07,34,42,32,0,,"8,546,843"
2676,16/01/2024,14,04,19,29,22,06,0,,"7,412,502"
2675,13/01/2024,34,45,31,26,42,01,0,,"8,250,890"
2674,11/01/2024,46,23,15,21,14,08,0,,"5,206,263"
2673,09/01/2024,35,45,52,04,27,56,0,,"4,475,821"
2672,06/01/2024,40,10,13,20,56,43,1,"6,480,136.97","6,747,887"
2671,04/01/2024,53,43,19,16,58,57,0,,"5,454,899"
2670,31/12/2023,24,56,33,48,21,41,5,"117,778,204.25","485,250,550"
2669,16/12/2023,07,04,35,16,46,54,0,,"8,163,974"
2668,14/12/2023,46,30,41,27,01,57,0,,"6,123,188"
2667,12/12/2023,04,46,21,51,08,01,0,,"5,403,236"
2666,09/12/2023,29,05,43,47,30,25,1,"30,781,665.32","10,479,456"
2665,07/12/2023,03,39,21,22,14,37,0,,"8,471,087"
2664,05/12/2023,15,40,17,12,52,30,0,,"6,147,505"
2663,02/12/2023,27,07,56,11,41,59,0,,"6,879,130"
2662,30/11/2023,31,20,42,40,17,34,1,"35,852,142.15","9,606,114"
2661,28/11/2023,35,38,30,41,56,06,0,,"8,926,792"
2660,25/11/2023,13,38,60,06,12,20,0,,"9,784,951"
2659,23/11/2023,36,55,60,53,11,46,0,,"5,109,701"
2658,21/11/2023,60,51,13,05,39,58,1,"50,248,574.29","11,103,306"
2657,18/11/2023,07,53,33,36,32,27,0,,"16,490,725"
2656,14/11/2023,57,27,46,20,24,58,0,,"10,175,841"
2655,11/11/2023,30,31,49,23,56,10,0,,"11,347,888"
2654,09/11/2023,23,17,47,51,36,11,1,"11,906,870.24","7,980,430"
2653,07/11/2023,43,48,60,14,41,32,0,,"6,847,210"
2652,04/11/2023,59,45,23,13,29,26,0,,"7,594,261"
2651,01/11/2023,23,59,36,06,35,37,1,"104,876,676.04","29,071,846"
2650,28/10/2023,37,58,18,39,29,09,0,,"20,901,591"
2649,26/10/2023,46,32,11,56,06,26,0,,"13,914,439"
2648,24/10/2023,59,45,44,46,56,20,0,,"11,936,458"
2647,21/10/2023,54,33,09,50,39,43,0,,"13,406,032"
2646,19/10/2023,58,28,41,30,18,39,0,,"10,454,465"
2645,17/10/2023,34,59,22,51,42,08,0,,"9,250,868"
2644,14/10/2023,22,30,17,04,49,28,0,,"11,616,487"
2643,10/10/2023,10,29,56,02,59,31,0,,"5,990,788"
2642,07/10/2023,31,08,49,33,50,13,0,,"7,005,969"
2641,05/10/2023,39,09,45,24,50,34,1,"32,744,242.80","9,842,919"
2640,03/10/2023,27,32,28,08,04,10,0,,"8,312,216"
2639,30/09/2023,49,22,48,08,11,02,0,,"8,387,769"
2638,28/09/2023,44,55,54,30,34,09,0,,"5,496,465"
2637,26/09/2023,32,34,10,01,59,02,0,,"4,409,377"
2636,23/09/2023,43,16,05,38,42,48,1,"40,435,445.43","12,657,268"
2635,21/09/2023,37,29,06,58,56,11,0,,"9,159,344"
2634,19/09/2023,56,08,28,48,32,27,0,,"6,766,696"
2633,16/09/2023,33,45,02,54,25,23,0,,"7,984,648"
2632,14/09/2023,10,57,05,56,38,27,0,,"5,628,241"
2631,12/09/2023,50,53,14,36,26,39,0,,"4,720,244"
2630,09/09/2023,14,18,38,31,26,22,1,"84,729,015.05","21,398,938"
2629,05/09/2023,48,40,35,41,11,32,0,,"11,377,268"
2628,02/09/2023,54,32,05,53,40,14,0,,"14,061,768"
2627,31/08/2023,57,31,58,43,13,25,0,,"10,776,932"
2626,29/08/2023,16,13,09,01,59,52,0,,"8,630,247"
2625,26/08/2023,10,35,09,55,58,44,0,,"10,894,659"
2624,24/08/2023,31,58,05,52,37,47,0,,"5,963,608"
2623,22/08/2023,59,35,10,15,20,37,0,,"4,484,720"
2622,19/08/2023,24,22,50,19,60,09,1,"4,645,727.41","8,748,398"
2621,16/08/2023,14,47,09,16,42,06,2,"1,928,029.09","7,661,367"
2620,12/08/2023,26,21,13,04,06,28,4,"29,058,128.28","32,291,748"
2619,09/08/2023,41,05,50,39,44,36,0,,"22,134,899"
2618,05/08/2023,45,17,29,35,48,06,0,,"20,582,381"
2617,02/08/2023,44,42,36,03,14,43,0,,"16,335,208"
2616,29/07/2023,49,38,06,23,35,16,0,,"14,013,711"
2615,27/07/2023,41,23,59,22,07,05,0,,"10,619,562"
2614,25/07/2023,03,25,19,14,13,08,3,"22,746,383.38","16,215,938"
2613,22/07/2023,46,40,26,14,42,52,0,,"19,522,568"
2612,19/07/2023,44,50,34,27,54,20,0,,"15,734,711"
2611,15/07/2023,25,18,04,49,21,12,0,,"15,704,630"
2610,12/07/2023,53,55,10,23,34,57,0,,"12,841,980"
2609,08/07/2023,21,35,27,60,03,32,0,,"10,624,164"
2608,05/07/2023,07,13,29,17,52,24,0,,"7,226,172"
2607,01/07/2023,57,25,11,60,07,51,1,"44,355,154.71","13,711,759"
2606,29/06/2023,32,45,49,16,10,02,0,,"9,777,136"
2605,27/06/2023,05,54,35,46,11,26,0,,"7,392,546"
2604,24/06/2023,19,16,17,22,46,57,0,,"8,750,223"
2603,21/06/2023,03,56,29,13,52,07,0,,"6,710,296"
2602,17/06/2023,32,30,46,11,16,14,1,"51,774,681.61","16,963,075"
2601,14/06/2023,40,08,34,03,44,55,0,,"13,919,264"
