Todos os Resultados da Mega Sena na ordem do sorteio | Rede Loteria,,,,,,,,,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2413,28/09/2021,48,37,22,03,40,41,0,,"5,315,459"
2412,25/09/2021,16,60,36,34,09,49,0,,"8,419,574"
2411,22/09/2021,07,26,43,44,34,29,0,,"6,091,438"
2410,18/09/2021,10,59,35,43,07,27,2,"12,503,139.64","11,148,670"
2409,15/09/2021,58,39,49,02,52,29,0,,"6,023,786"
2408,11/09/2021,29,38,57,04,30,43,1,"46,317,095.04","14,862,013"
2407,08/09/2021,17,43,31,13,55,54,0,,"10,909,015"
2406,04/09/2021,29,43,12,08,54,60,0,,"13,384,079"
2405,01/09/2021,21,38,59,53,49,48,0,,"10,740,269"
2404,28/08/2021,19,35,01,40,47,54,0,,"8,265,366"
2403,25/08/2021,32,12,14,34,33,10,0,,"6,171,010"
2402,21/08/2021,60,29,06,30,25,22,1,"40,953,827.42","15,109,804"
2401,18/08/2021,08,38,13,33,11,48,0,,"12,362,843"
2400,14/08/2021,09,26,36,25,21,53,0,,"9,921,790"
2399,12/08/2021,52,42,35,27,51,44,0,,"5,968,542"
2398,10/08/2021,36,59,17,30,08,54,1,"60,902,054.13","13,155,239"
2397,07/08/2021,06,14,48,46,20,39,0,,"18,531,959"
2396,04/08/2021,03,25,02,49,42,39,0,,"15,423,511"
2395,31/07/2021,44,11,04,45,57,12,0,,"14,258,141"
2394,28/07/2021,42,44,05,25,36,16,0,,"8,977,132"
2393,24/07/2021,32,28,38,51,27,26,0,,"8,662,624"
2392,21/07/2021,53,34,25,15,23,11,0,,"6,319,221"
2391,17/07/2021,05,08,13,27,50,36,1,"76,237,205.10","23,894,479"
2390,14/07/2021,20,13,09,56,32,22,0,,"19,123,800"
2389,10/07/2021,39,30,16,51,37,40,0,,"15,221,240"
2388,07/07/2021,08,37,45,48,33,30,0,,"12,875,639"
2387,03/07/2021,38,26,30,08,31,48,0,,"10,308,385"
2386,01/07/2021,35,13,11,50,49,16,0,,"7,697,793"
2385,29/06/2021,32,12,43,37,24,60,0,,"5,434,520"
2384,26/06/2021,25,26,09,13,22,31,0,,"6,298,362"
2383,23/06/2021,41,16,40,20,15,13,1,"2,783,717.00","5,824,483"
2382,19/06/2021,53,06,19,09,38,55,1,"7,098,061.76","8,380,994"
2381,16/06/2021,47,41,32,07,23,42,0,,"6,470,566"
2380,12/06/2021,53,39,11,16,20,24,1,"43,258,691.06","14,810,668"
2379,09/06/2021,26,32,56,02,08,46,0,,"9,751,565"
2378,05/06/2021,37,49,41,54,11,38,0,,"8,532,007"
2377,02/06/2021,35,05,44,18,43,29,0,,"6,909,215"
2376,29/05/2021,22,12,17,18,19,14,2,"47,341,439.63","31,579,301"
2375,26/05/2021,58,06,46,53,44,02,0,,"23,582,254"
2374,22/05/2021,25,37,39,13,41,12,0,,"17,028,805"
2373,19/05/2021,44,26,23,49,60,24,0,,"14,253,810"
2372,15/05/2021,19,25,44,46,03,57,0,,"13,919,003"
2371,12/05/2021,30,48,36,04,39,15,0,,"11,587,981"
2370,08/05/2021,56,31,37,07,44,42,0,,"9,760,441"
2369,06/05/2021,60,09,19,04,17,37,0,,"5,609,682"
2368,04/05/2021,13,07,36,25,58,04,1,"37,429,107.24","10,397,943"
2367,30/04/2021,29,05,23,34,53,60,0,,"9,766,983"
2366,28/04/2021,33,41,38,27,04,35,0,,"11,039,185"
2365,24/04/2021,44,50,17,28,37,01,0,,"9,252,673"
2364,22/04/2021,42,56,33,20,51,44,0,,"5,874,245"
2363,17/04/2021,34,06,58,39,14,24,1,"40,076,100.78","14,815,165"
2362,14/04/2021,35,22,32,20,50,03,0,,"11,986,104"
2361,10/04/2021,46,21,35,29,14,22,0,,"10,094,038"
2360,08/04/2021,15,21,24,45,29,10,0,,"8,113,125"
2359,06/04/2021,39,42,43,51,31,32,0,,"4,718,562"
2358,03/04/2021,05,43,16,11,09,57,0,,"6,028,921"
2357,31/03/2021,28,34,51,19,40,30,0,,"5,679,763"
2356,27/03/2021,51,36,03,58,10,25,1,"27,070,907.55","10,470,017"
2355,24/03/2021,31,07,30,41,56,50,0,,"8,766,399"
2354,20/03/2021,18,54,25,06,30,42,2,"22,779,788.25","14,323,231"
2353,17/03/2021,19,03,34,53,48,41,0,,"12,578,875"
2352,13/03/2021,17,55,09,41,38,49,0,,"12,308,990"
2351,10/03/2021,35,49,19,22,47,41,0,,"10,422,193"
2350,06/03/2021,45,28,34,29,25,41,0,,"9,874,876"
2349,03/03/2021,54,25,05,10,49,32,1,"2,780,964.58","5,818,724"
2348,27/02/2021,02,03,51,48,54,07,1,"49,341,885.20","15,940,771"
2347,24/02/2021,17,58,09,60,30,08,0,,"13,362,733"
2346,20/02/2021,04,58,03,40,11,42,0,,"13,169,167"
2345,17/02/2021,16,22,07,55,19,28,0,,"8,691,737"
2344,13/02/2021,38,11,52,57,17,25,0,,"9,731,973"
2343,10/02/2021,56,49,31,04,45,42,0,,"7,760,384"
2342,06/02/2021,20,24,17,27,40,60,0,,"6,939,562"
2341,03/02/2021,09,46,04,32,31,42,1,"25,099,868.34","10,915,243"
2340,30/01/2021,49,41,16,51,28,21,0,,"8,631,425"
2339,28/01/2021,04,48,59,29,47,18,0,,"5,036,604"
2338,26/01/2021,21,08,34,47,42,23,0,,"3,541,962"
2337,23/01/2021,02,51,49,09,34,55,1,"21,898,260.37","11,503,207"
2336,20/01/2021,20,27,50,08,10,28,0,,"9,449,497"
2335,16/01/2021,18,42,49,47,09,23,0,,"9,274,550"
2334,13/01/2021,22,04,20,25,13,60,1,"11,854,874.71","8,802,386"
2333,09/01/2021,41,53,55,09,16,31,0,,"7,912,377"
2332,06/01/2021,12,33,44,52,35,36,0,,"6,141,669"
2331,02/01/2021,53,16,11,57,13,36,0,,"1,947,999"
2330,31/12/2020,22,35,17,41,20,42,2,"162,625,108.22","261,270,901"
2329,19/12/2020,42,28,45,14,12,55,2,"26,798,752.27","15,564,819"
2328,16/12/2020,11,08,39,14,48,53,0,,"12,903,249"
2327,12/12/2020,54,45,30,57,37,58,0,,"11,723,172"
2326,10/12/2020,27,36,34,16,57,10,0,,"9,692,333"
2325,08/12/2020,33,37,60,34,46,52,0,,"7,118,377"
2324,05/12/2020,31,02,43,19,60,16,0,,"9,710,677"
2323,02/12/2020,35,27,39,20,50,59,0,,"7,526,632"
2322,28/11/2020,05,10,02,29,34,41,0,,"6,940,269"
2321,25/11/2020,41,43,25,28,14,46,1,"3,036,906.71","6,354,242"
2320,21/11/2020,30,06,35,48,39,42,1,"76,128,023.58","18,730,180"
2319,18/11/2020,17,25,06,35,49,40,0,,"14,671,076"
2318,14/11/2020,54,58,52,28,44,60,0,,"15,072,841"
2317,11/11/2020,35,48,30,33,03,08,0,,"12,877,846"
2316,07/11/2020,49,11,56,43,52,02,0,,"12,377,507"
2315,04/11/2020,10,17,01,26,30,53,0,,"8,613,362"
2314,31/10/2020,28,06,07,42,45,49,1,"53,047,796.53","16,662,267"
2313,28/10/2020,45,03,58,26,20,49,0,,"13,791,812"
2312,24/10/2020,60,39,03,46,47,27,0,,"11,859,091"
2311,22/10/2020,60,09,35,43,05,03,0,,"9,610,586"
2310,20/10/2020,13,42,17,28,53,29,0,,"6,872,791"
2309,17/10/2020,33,60,11,29,09,30,0,,"6,881,690"
2308,14/10/2020,26,09,58,38,60,13,1,"6,648,106.25","6,670,661"
2307,10/10/2020,38,53,46,55,33,16,0,,"7,239,439"
2306,07/10/2020,28,58,19,03,57,33,1,"103,029,826.38","28,269,591"
2305,03/10/2020,57,55,38,07,16,22,0,,"23,031,938"
2304,30/09/2020,12,54,57,21,29,56,0,,"16,635,333"
2303,26/09/2020,17,50,48,20,03,07,0,,"16,127,569"
2302,23/09/2020,44,43,25,18,27,22,0,,"13,297,208"
2301,19/09/2020,18,36,47,52,35,17,0,,"11,268,282"
2300,17/09/2020,37,39,21,09,54,43,0,,"8,653,591"
2299,15/09/2020,03,40,19,60,02,44,0,,"4,668,364"
2298,12/09/2020,13,21,49,41,17,31,0,,"7,386,240"
2297,09/09/2020,20,22,41,59,35,40,0,,"5,235,113"
2296,05/09/2020,29,06,36,59,21,01,2,"47,160,446.98","24,971,199"
2295,02/09/2020,28,06,41,26,35,13,0,,"20,621,086"
2294,29/08/2020,09,43,20,41,33,15,0,,"16,160,381"
2293,26/08/2020,01,48,42,10,02,37,0,,"13,618,341"
2292,22/08/2020,18,57,06,33,42,16,0,,"13,156,535"
2291,19/08/2020,37,31,26,12,36,49,0,,"11,278,180"
2290,15/08/2020,60,36,05,57,44,18,0,,"9,259,925"
2289,13/08/2020,06,34,37,38,45,09,0,,"6,861,776"
2288,11/08/2020,35,39,02,26,56,40,0,,"5,025,047"
2287,08/08/2020,29,04,02,41,06,56,0,,"7,939,408"
2286,05/08/2020,42,43,41,09,21,30,0,,"6,078,273"
2285,01/08/2020,12,10,33,07,42,01,2,"11,323,343.69","9,865,028"
2284,29/07/2020,46,36,12,10,04,14,0,,"6,561,046"
2283,25/07/2020,24,04,37,43,59,60,0,,"6,230,862"
2282,22/07/2020,30,52,12,27,36,45,1,"28,456,665.08","10,138,057"
2281,18/07/2020,35,40,14,55,50,27,0,,"8,782,165"
2280,16/07/2020,50,28,58,29,59,31,0,,"7,627,295"
2279,14/07/2020,28,12,20,05,27,14,1,"43,234,926.10","8,855,952"
2278,11/07/2020,34,17,37,43,08,45,0,,"13,462,355"
2277,08/07/2020,23,10,53,60,22,37,0,,"10,973,689"
2276,04/07/2020,49,27,05,18,57,15,0,,"10,678,360"
2275,01/07/2020,25,50,02,53,04,36,0,,"8,519,315"
2274,27/06/2020,08,55,40,11,33,17,0,,"5,745,306"
2273,24/06/2020,58,15,20,16,38,40,1,"43,269,740.25","12,572,358"
2272,20/06/2020,05,41,11,49,24,02,0,,"12,498,139"
2271,17/06/2020,06,10,41,52,27,28,0,,"10,981,628"
2270,13/06/2020,41,16,48,14,38,39,0,,"9,473,110"
2269,10/06/2020,55,14,23,29,11,01,0,,"7,196,497"
2268,06/06/2020,04,30,52,23,13,28,0,,"6,608,687"
2267,03/06/2020,48,49,53,20,32,33,1,"45,553,191.42","13,377,685"
2266,30/05/2020,23,37,59,10,58,31,0,,"12,465,928"
2265,27/05/2020,50,20,46,23,14,39,0,,"9,994,882"
2264,23/05/2020,29,19,08,02,37,03,0,,"7,103,335"
2263,20/05/2020,43,49,57,33,09,24,0,,"5,556,878"
2262,16/05/2020,07,30,46,23,08,14,1,"101,195,308.30","26,256,759"
2261,13/05/2020,23,26,51,27,29,07,0,,"19,596,588"
2260,09/05/2020,37,12,14,34,35,47,0,,"15,963,363"
2259,07/05/2020,54,56,58,20,27,41,0,,"11,910,408"
2258,05/05/2020,26,07,01,23,14,05,0,,"8,491,502"
2257,02/05/2020,18,30,21,31,34,51,0,,"10,266,165"
2256,29/04/2020,09,37,30,10,54,47,0,,"10,358,700"
2255,25/04/2020,20,15,57,49,39,41,0,,"9,012,778"
2254,22/04/2020,47,04,24,44,56,09,0,,"6,730,433"
2253,18/04/2020,32,39,55,33,52,31,0,,"7,349,953"
2252,15/04/2020,46,50,01,17,37,30,0,,"6,420,711"
2251,11/04/2020,58,22,26,15,54,05,0,,"5,549,673"
2250,08/04/2020,39,52,27,57,58,33,0,,"5,517,412"
2249,04/04/2020,04,49,09,31,47,53,0,,"4,147,116"
2248,01/04/2020,20,09,42,29,30,15,1,"4,906,932.90","4,336,724"
2247,28/03/2020,42,53,47,01,44,48,0,,"3,336,031"
2246,25/03/2020,09,33,46,24,27,05,0,,"2,594,218"
2245,21/03/2020,33,11,14,34,15,18,1,"15,186,785.88","6,056,394"
2244,18/03/2020,11,05,42,03,34,37,1,"12,147,334.80","7,855,564"
2243,14/03/2020,14,38,28,18,35,54,0,,"7,496,032"
2242,12/03/2020,24,42,18,05,25,09,0,,"6,001,470"
2241,10/03/2020,56,18,26,13,01,40,0,,"4,063,291"
2240,07/03/2020,25,09,07,10,58,19,2,"27,894,020.38","15,501,075"
2239,04/03/2020,27,39,07,31,46,45,0,,"8,508,509"
2238,29/02/2020,57,36,11,58,55,45,0,,"6,661,055"
2237,27/02/2020,60,27,28,20,53,11,2,"105,826,358.87","45,118,912"
2236,22/02/2020,07,53,43,20,45,38,0,,"41,166,429"
2235,19/02/2020,14,55,35,30,18,57,0,,"35,453,834"
2234,15/02/2020,47,29,42,04,27,21,0,,"30,066,331"
2233,12/02/2020,45,35,06,41,04,32,0,,"25,845,674"
2232,08/02/2020,31,34,38,47,07,08,0,,"23,216,488"
2231,05/02/2020,04,13,53,40,25,57,0,,"19,202,280"
2230,01/02/2020,39,17,56,60,26,07,0,,"17,673,142"
2229,29/01/2020,06,41,40,29,58,11,0,,"13,260,579"
2228,25/01/2020,19,45,39,09,23,32,0,,"11,335,309"
2227,23/01/2020,09,06,27,32,12,57,0,,"9,646,056"
2226,21/01/2020,02,07,38,30,04,16,0,,"7,650,672"
2225,18/01/2020,01,37,47,44,46,32,0,,"10,656,350"
2224,15/01/2020,23,50,58,32,52,16,0,,"8,453,265"
2223,11/01/2020,49,26,02,56,40,42,0,,"8,255,994"
2222,08/01/2020,14,48,30,29,59,13,0,,"6,556,768"
2221,04/01/2020,23,34,45,57,05,56,0,,"5,354,093"
2220,31/12/2019,38,58,35,03,40,57,4,"76,053,459.66","228,640,467"
2219,21/12/2019,57,59,45,08,28,36,0,,"6,221,790"
2218,19/12/2019,16,06,38,22,52,48,1,"40,059,665.22","10,470,187"
2217,17/12/2019,16,32,36,30,14,10,0,,"8,098,164"
2216,14/12/2019,24,42,48,10,43,49,0,,"11,709,483"
2215,11/12/2019,21,23,43,01,19,33,0,,"9,843,700"
2214,07/12/2019,18,30,04,10,34,47,0,,"7,004,140"
2213,04/12/2019,07,05,10,60,32,46,1,"51,119,263.33","14,783,100"
2212,30/11/2019,51,58,53,52,26,23,0,,"13,299,420"
2211,27/11/2019,27,44,36,54,41,40,0,,"11,870,227"
2210,23/11/2019,11,33,34,25,24,17,0,,"11,417,981"
2209,20/11/2019,32,22,47,28,33,25,0,,"8,016,340"
2208,16/11/2019,30,45,16,49,25,40,0,,"7,431,361"
2207,13/11/2019,43,11,06,55,53,10,0,,"7,501,739"
2206,09/11/2019,42,38,45,06,27,57,0,,"6,172,601"
2205,06/11/2019,21,42,12,57,37,28,1,"61,429,947.73","12,983,152"
2204,04/11/2019,32,56,29,28,01,35,0,,"13,225,140"
2203,30/10/2019,34,46,57,50,17,49,0,,"10,856,046"
2202,26/10/2019,43,60,37,38,29,11,0,,
2201,24/10/2019,13,49,03,41,53,23,0,,
2200,22/10/2019,28,55,36,43,11,15,0,,
2199,19/10/2019,38,23,30,44,35,15,0,,
2198,16/10/2019,56,11,34,44,36,01,1,"34,615,569.28",
2197,14/10/2019,29,11,03,35,44,57,0,,
2196,09/10/2019,56,28,27,01,41,25,0,,
2195,05/10/2019,24,32,38,53,46,14,0,,
2194,02/10/2019,16,08,20,21,34,31,0,,
2193,28/09/2019,08,07,42,27,29,22,1,"5,698,505.42",
2192,26/09/2019,57,53,07,59,16,37,0,,
2191,24/09/2019,33,46,26,04,53,08,1,"43,258,437.80",
2190,21/09/2019,53,35,25,09,05,20,0,,
2189,18/09/2019,33,29,11,04,16,22,1,"120,085,143.97",
2188,14/09/2019,60,51,21,28,02,17,0,,
2187,11/09/2019,16,21,50,10,46,11,0,,
2186,09/09/2019,27,19,12,41,18,46,0,,
2185,04/09/2019,19,42,18,47,22,09,0,,
2184,31/08/2019,51,15,52,36,59,45,0,,
2183,28/08/2019,51,13,43,30,34,26,0,,
2182,24/08/2019,59,47,46,19,39,22,0,,
2181,21/08/2019,08,01,19,48,36,33,0,,
2180,17/08/2019,16,12,10,21,28,38,0,,
2179,14/08/2019,24,02,35,54,50,13,0,,
2178,10/08/2019,16,21,42,02,50,56,0,,
2177,08/08/2019,14,09,48,11,31,51,0,,
2176,06/08/2019,23,08,25,43,39,44,1,"30,505,746.02",
2175,03/08/2019,55,53,07,32,43,25,0,,
2174,31/07/2019,36,10,34,15,60,56,0,,
2173,27/07/2019,09,48,44,42,02,50,0,,
2172,24/07/2019,09,57,43,37,28,24,0,,
2171,20/07/2019,19,12,13,36,55,44,1,"21,978,571.91",
2170,17/07/2019,36,21,51,10,24,38,0,,
2169,13/07/2019,45,07,34,59,51,54,0,,
2168,11/07/2019,37,25,29,04,01,27,1,"8,177,021.67",
2167,09/07/2019,37,45,38,43,54,27,0,,
2166,06/07/2019,44,03,34,56,19,58,0,,
2165,03/07/2019,56,49,54,43,05,37,1,"35,218,398.02",
2164,29/06/2019,48,17,58,47,16,25,0,,
2163,26/06/2019,45,20,24,36,18,08,0,,
2162,22/06/2019,11,30,42,34,16,22,0,,
2161,19/06/2019,24,10,08,44,09,42,1,"124,209,628.25",
2160,15/06/2019,53,49,01,46,47,19,0,,
2159,12/06/2019,53,35,38,14,45,26,0,,
2158,08/06/2019,09,27,46,59,35,45,0,,
2157,05/06/2019,34,48,31,39,33,35,0,,
2156,01/06/2019,49,39,23,06,26,01,0,,
2155,29/05/2019,37,44,02,27,06,47,0,,
2154,25/05/2019,53,41,47,50,07,25,0,,
2153,22/05/2019,13,28,31,08,33,32,1,"11,825,289.36",
2152,18/05/2019,49,36,29,26,59,50,0,,
2151,15/05/2019,36,38,02,29,14,18,0,,
2150,11/05/2019,38,24,23,26,42,49,1,"289,420,865.00",
2149,08/05/2019,21,48,46,23,44,37,0,,
2148,04/05/2019,59,33,08,58,32,15,0,,
2147,02/05/2019,49,42,17,19,37,41,0,,
2146,27/04/2019,39,42,16,18,44,31,0,,
2145,24/04/2019,06,59,28,08,51,53,0,,
2144,20/04/2019,21,33,55,16,07,60,0,,
2143,17/04/2019,12,58,35,51,02,57,0,,
2142,13/04/2019,44,50,52,57,07,40,0,,
2141,10/04/2019,10,19,11,37,41,17,0,,
2140,06/04/2019,20,54,36,17,42,26,0,,
2139,03/04/2019,58,29,23,41,14,57,0,,
2138,30/03/2019,30,34,04,21,13,14,0,,
2137,27/03/2019,02,01,49,11,12,34,0,,
2136,23/03/2019,35,22,11,01,30,08,0,,
2135,20/03/2019,23,48,59,28,40,09,1,"32,689,083.52",
2134,16/03/2019,54,06,46,21,59,34,0,,
2133,13/03/2019,26,20,19,51,52,57,0,,
2132,09/03/2019,05,60,18,39,35,30,0,,
2131,06/03/2019,28,18,20,06,02,03,1,"78,938,208.62",
2130,02/03/2019,13,53,16,36,55,54,0,,
2129,28/02/2019,60,46,12,06,32,31,0,,
2128,26/02/2019,24,55,46,16,11,54,0,,
2127,23/02/2019,07,46,28,30,44,01,0,,
2126,20/02/2019,58,39,27,07,24,12,0,,
2125,16/02/2019,44,01,31,53,46,58,0,,
2124,13/02/2019,31,20,47,43,02,11,0,,
2123,09/02/2019,47,59,14,56,50,15,0,,
2122,06/02/2019,27,21,03,11,15,49,0,,
2121,02/02/2019,37,08,17,29,10,40,1,"24,666,686.76",
2120,30/01/2019,38,41,20,24,25,13,0,,
2119,26/01/2019,42,49,26,31,19,21,0,,
2118,23/01/2019,41,11,12,46,20,40,1,"37,902,607.11",
2117,19/01/2019,28,43,04,29,52,30,0,,
2116,17/01/2019,21,19,01,09,34,54,0,,
2115,15/01/2019,19,40,35,44,27,04,0,,
2114,12/01/2019,35,17,30,25,42,57,0,,
2113,09/01/2019,11,21,46,14,25,50,0,,
2112,05/01/2019,17,46,43,53,52,39,0,,
2111,02/01/2019,54,41,01,46,58,44,0,,
2110,31/12/2018,25,33,10,12,18,05,52,"5,818,007.36",
2109,20/12/2018,04,16,44,49,12,34,0,,
2108,18/12/2018,44,59,29,19,41,22,0,,
2107,15/12/2018,50,44,60,38,56,08,0,,
2106,12/12/2018,27,03,39,40,36,43,0,,
2105,08/12/2018,16,46,13,11,24,31,0,,
2104,06/12/2018,12,45,10,56,02,27,0,,
2103,04/12/2018,13,40,50,46,03,44,0,,
2102,01/12/2018,06,04,17,57,34,51,0,,
2101,28/11/2018,58,56,18,08,02,37,0,,
2100,24/11/2018,01,35,13,11,10,49,1,"69,186,484.11",
2099,21/11/2018,30,15,05,58,20,27,0,,
2098,17/11/2018,02,38,27,60,18,08,0,,
2097,14/11/2018,51,28,24,49,09,45,0,,
2096,10/11/2018,11,51,06,24,13,19,0,,
2095,07/11/2018,49,29,56,43,35,16,0,,
2094,03/11/2018,04,33,16,44,19,31,0,,
2093,31/10/2018,54,34,52,08,14,27,0,,
2092,27/10/2018,13,17,27,11,15,22,0,,
2091,25/10/2018,12,11,10,59,38,37,1,"20,024,894.84",
2090,23/10/2018,11,08,18,40,37,51,0,,
2089,20/10/2018,38,48,05,49,10,32,0,,
2088,17/10/2018,24,03,27,38,14,56,1,"2,526,635.00",
2087,13/10/2018,19,18,53,34,02,23,1,"27,364,769.44",
2086,10/10/2018,04,53,35,43,47,46,0,,
2085,06/10/2018,25,49,12,21,38,37,0,,
2084,03/10/2018,20,37,26,07,39,38,0,,
2083,29/09/2018,56,33,01,19,18,60,0,,
2082,26/09/2018,25,33,42,49,06,48,1,"2,420,701.10",
2081,22/09/2018,40,42,13,18,35,41,1,"21,763,750.54",
2080,20/09/2018,58,55,46,22,40,10,0,,
2079,18/09/2018,55,37,58,14,02,01,0,,
2078,15/09/2018,30,36,02,11,39,15,0,,
2077,12/09/2018,37,13,16,26,39,35,1,"27,758,694.68",
2076,08/09/2018,06,15,43,05,12,22,0,,
2075,05/09/2018,59,23,33,57,09,07,0,,
2074,01/09/2018,42,08,18,37,58,23,2,"22,327,541.33",
2073,29/08/2018,55,12,15,30,52,18,0,,
2072,25/08/2018,22,13,10,20,12,54,0,,
2071,22/08/2018,35,46,34,60,24,33,0,,
2070,18/08/2018,05,26,42,27,48,34,0,,
2069,16/08/2018,40,03,48,17,34,35,0,,
2068,14/08/2018,05,47,40,09,42,03,0,,
2067,11/08/2018,59,02,11,32,26,13,0,,
2066,08/08/2018,27,55,35,06,25,45,1,"35,155,103.28",
2065,04/08/2018,04,11,43,20,30,37,0,,
2064,01/08/2018,55,53,14,10,36,60,0,,
2063,28/07/2018,10,19,29,24,06,25,0,,
2062,25/07/2018,08,15,34,25,10,23,1,"73,450,153.75",
2061,21/07/2018,33,45,44,40,36,54,0,,
2060,18/07/2018,11,39,41,09,25,08,0,,
2059,14/07/2018,05,04,36,56,40,44,0,,
2058,11/07/2018,19,04,23,29,59,56,0,,
2057,07/07/2018,37,38,20,13,10,54,0,,
2056,05/07/2018,29,47,22,36,34,18,0,,
2055,03/07/2018,53,43,46,25,35,06,0,,
2054,30/06/2018,39,04,07,12,26,22,0,,
2053,27/06/2018,12,27,40,37,22,55,0,,
2052,23/06/2018,57,50,56,51,58,59,4,"9,627,559.21",
2051,20/06/2018,37,05,44,01,53,06,0,,
2050,16/06/2018,33,50,38,32,08,31,0,,
2049,13/06/2018,19,10,27,31,51,53,0,,
2048,09/06/2018,10,39,38,35,26,19,0,,
2047,06/06/2018,18,19,44,54,01,29,0,,
2046,02/06/2018,27,11,06,28,46,03,1,"29,066,470.84",
2045,30/05/2018,27,46,15,25,50,45,1,"29,066,470.84",
2044,26/05/2018,14,07,60,54,47,56,0,,
2043,23/05/2018,53,58,21,38,57,56,0,,
2042,19/05/2018,33,32,22,29,35,14,0,,
2041,16/05/2018,10,12,54,42,22,25,1,"58,932,070.38",
2040,12/05/2018,56,58,54,06,41,09,0,,
2039,10/05/2018,28,22,06,31,44,12,0,,
2038,08/05/2018,26,35,40,25,06,38,0,,
2037,05/05/2018,60,30,14,45,23,16,0,,
2036,02/05/2018,23,58,08,19,27,07,0,,
2035,28/04/2018,52,35,49,30,38,36,0,,
2034,25/04/2018,07,56,22,13,06,17,1,"2,777,651.27",
2033,20/04/2018,40,10,18,33,38,43,1,"9,349,630.55",
2032,17/04/2018,19,39,20,53,14,06,0,,
2031,14/04/2018,23,39,18,55,50,37,0,,
2030,11/04/2018,38,04,58,40,27,59,1,"22,122,662.60",
2029,07/04/2018,15,37,18,33,40,06,0,,
2028,04/04/2018,07,42,58,36,24,11,4,"10,251,126.97",
2027,31/03/2018,11,15,39,37,29,44,0,,
2026,28/03/2018,51,33,23,52,31,10,0,,
2025,24/03/2018,52,56,04,24,46,55,0,,
2024,21/03/2018,29,16,20,35,47,23,0,,
2023,17/03/2018,23,56,08,07,01,06,2,"29,864,355.95",
2022,14/03/2018,28,60,52,45,04,48,0,,
2021,10/03/2018,32,37,40,60,07,14,0,,
2020,07/03/2018,02,46,57,60,48,36,0,,
2019,03/03/2018,41,46,54,59,23,52,0,,
2018,28/02/2018,55,11,27,22,25,59,0,,
2017,24/02/2018,56,10,11,02,38,24,0,,
2016,21/02/2018,11,17,48,18,04,21,0,,
2015,17/02/2018,18,58,32,39,27,17,1,"104,545,829.37",
2014,14/02/2018,46,32,16,56,40,53,0,,
2013,10/02/2018,06,36,53,30,56,23,0,,
2012,08/02/2018,11,51,36,08,35,27,0,,
2011,06/02/2018,28,35,58,54,02,32,0,,
2010,03/02/2018,18,56,08,34,39,10,0,,
2009,31/01/2018,01,48,50,44,37,46,0,,
2008,27/01/2018,27,22,58,33,59,42,0,,
2007,24/01/2018,41,14,54,04,39,58,0,,
2006,20/01/2018,20,09,01,14,54,25,0,,
2005,17/01/2018,22,19,33,11,53,34,0,,
2004,13/01/2018,45,35,01,23,05,14,3,"4,095,573.45",
2003,10/01/2018,40,50,43,28,51,34,0,,
2002,06/01/2018,59,46,28,38,04,30,0,,
2001,03/01/2018,22,20,52,60,42,36,0,,
2000,31/12/2017,06,37,34,10,03,17,17,"18,042,279.04",
1999,21/12/2017,42,38,49,15,50,37,0,,
1998,19/12/2017,57,21,24,52,25,08,0,,
1997,16/12/2017,14,07,35,01,31,46,0,,
1996,13/12/2017,56,21,20,07,40,24,0,,
1995,09/12/2017,14,37,39,26,35,29,0,,
1994,06/12/2017,44,05,32,02,12,40,0,,
1993,02/12/2017,50,57,48,17,06,33,0,,
1992,29/11/2017,21,11,13,53,54,05,2,"32,953,918.65",
1991,25/11/2017,19,34,44,36,20,28,0,,
1990,22/11/2017,37,26,11,24,59,34,0,,
1989,18/11/2017,40,58,30,32,15,22,0,,
1988,16/11/2017,05,39,10,54,46,42,0,,
1987,11/11/2017,10,58,14,45,31,34,0,,
1986,09/11/2017,55,23,44,43,36,56,0,,
1985,07/11/2017,09,36,29,28,34,55,0,,
1984,04/11/2017,43,32,21,50,35,29,0,,
1983,01/11/2017,14,22,06,05,10,36,1,"2,598,401.89",
1982,28/10/2017,46,24,20,04,50,14,1,"20,777,195.15",
1981,25/10/2017,15,06,39,19,37,53,0,,
1980,21/10/2017,18,16,12,34,37,17,0,,
1979,19/10/2017,38,23,45,32,29,22,1,"3,951,513.94",
1978,17/10/2017,06,02,57,22,55,44,0,,
1977,14/10/2017,28,03,32,34,37,16,1,"5,889,546.54",
1976,11/10/2017,52,14,19,12,59,25,0,,
1975,07/10/2017,08,24,47,26,11,57,1,"22,575,348.57",
1974,04/10/2017,19,57,38,54,04,27,1,"54,268,048.74",
1973,30/09/2017,17,16,60,12,52,01,0,,
1972,27/09/2017,20,09,59,54,16,57,0,,
1971,23/09/2017,54,10,52,41,44,04,0,,
1970,21/09/2017,10,18,24,05,39,52,0,,
1969,19/09/2017,30,59,20,32,08,48,0,,
1968,16/09/2017,35,48,44,39,36,52,0,,
1967,13/09/2017,32,39,13,54,30,46,0,,
1966,09/09/2017,19,10,32,60,13,40,0,,
1965,06/09/2017,28,26,55,38,48,35,1,"78,022,245.31",
1964,02/09/2017,32,27,48,36,02,50,0,,
1963,30/08/2017,34,60,05,04,07,42,0,,
1962,26/08/2017,39,05,06,53,15,25,0,,
1961,23/08/2017,50,30,25,17,32,26,0,,
